Respondent Id,Q1,Q2,Q3,Q4,Q5,Q6,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q11A,Q11B,Q11C,Q11D,Q11E,Q11F,Q11G,Q13,Q14,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27A,Q27B,Q27C,Q27D,Q27E,Q27F,Q27G,Q27H,Q27I,Q27J,Q28A,Q28B,Q28C,Q28D,Q28E,Q28F,Q28G,Q28H,Q28I,Q28J,Q29,Q30,Q31
1,2,5,3,5,2,5,2,3,4,1,5,7,5,4,3,2,1,8,10,7,1,4,5,2,3,6,0,0,1,1,5,4,3,1,5,4,1,3,1,1,1,1,1,5,5,5,5,5,1,1,1,3,3,5,5,5,3,3,2,3,1
2,0,4,4,5,2,4,1,,,,,1,1,1,,,1,1,1,,1,,1,1,,,1,2,1,5,3,5,5,4,2,5,3,2.5,1,2,3,4,4,4,5,4,5,5,1,1,3,4,5,5,5,3,4,5,2,2,1
3,1,3,3,2,-1,3,1,2,2,4,5,2,1,2,2,4,3,3,3,2,2,1,1,2,3,5,0,-1,1,4,3,5,5,2,4,5,2,2,,,2,2,3,3,5,4,4,4,1,3,3,3,2,3,4,2,4,3,2,3,1
4,2,3,3,5,2,5,1,2,3,4,5,1,2,4,3,5,6,7,8,1,2,4,3,5,6,7,1,1,4,4,4,4,4,3,4,4,2,3,3,3,4,4,5,4,4,4,4,3,2,2,5,5,5,4,4,4,3,3,2,1,2
5,2,5,5,5,2,4,2,1,3,5,4,3,2,6,7,5,1,8,4,7,5,2,1,4,3,6,2,1,1,5,5,5,4,5,1,5,5,7,2,2,3,3,3,5,5,4,3,5,1,1,3,3,5,5,5,1,3,4,2,1,2
6,2,4,3,5,2,4,1,5,3,2,4,1,2,4,4,4,2,2,2,3,3,4,1,2,2,3,1,1,2,4,4,4,3,2,4,3,3,4,2,2,2,3,4,5,4,3,3,4,1,1,3,3,4,5,4,4,3,3,2,1,2
7,2,4,4,4,2,4,2,3,1,5,4,1,7,2,8,3,5,4,6,3,1,4,5,7,2,6,0,0,1,4,3,5,5,5,1,5,3,5,2,2,2,2,3,4,4,4,4,4,1,1,2,3,3,4,4,4,4,4,2,2,1
8,,,,,,,2,4,5,1,3,1,3,4,5,6,2,7,8,3,4,7,6,5,1,2,1,1,4,5,5,5,5,5,5,5,5,6,5,5,4,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,2,2,2
9,-1,2,3,3,-1,3,1,3,2,4,5,1,2,5,6,7,3,8,4,6,5,1,2,4,3,7,1,0,1,5,5,5,5,4,2,4,2,2,1,1,1,1,2,5,3,4,4,3,1,1,1,3,4,5,2,2,2,3,2,1,2
10,2,5,5,5,2,5,1,,,,,1,,,,,,,,,3,,,2,1,,2,2,5,5,5,5,5,5,5,5,5,7,,,,,,,,,,,,,,,,,,,,,,,
11,2,5,5,5,2,5,1,3,2,4,5,1,3,4,6,5,2,7,8,3,2,1,7,6,4,5,2,2,5,5,5,5,5,3,4,5,5,7,5,5,5,4,3,5,5,4,5,4,,,,,,,,,,,,,
12,1,4,4,4,1,4,1,1,,,,1,,,,,,,,,1,,,,,,1,1,2,4,5,5,4,3,2,5,3,6,2,2,3,5,4,4,4,4,4,5,2,2,4,5,4,4,3,4,4,3,2,2,3
13,2,3,4,5,2,5,2,4,1,3,5,6,5,7,4,8,3,2,1,7,6,2,1,3,5,4,2,2,1,5,5,5,4,5,2,5,2,3,1,2,3,5,5,5,5,4,5,5,1,1,3,5,5,5,5,5,5,5,2,1,1
14,0,3,4,4,1,4,1,3,2,5,4,1,2,4,8,3,7,5,6,6,2,1,4,7,5,3,1,0,1,3,4,5,4,3,3,4,5,2,,,2,2,3,5,5,4,5,5,,,5,5,2,5,5,4,2,3,2,2,4
15,2,5,5,5,2,5,1,2,3,4,5,1,2,4,3,6,5,7,8,4,5,7,1,3,2,6,2,1,1,4,5,5,5,2,5,4,4,2,1,1,5,5,4,5,5,5,3,1,1,1,5,3,5,5,5,5,4,1,2,2,4
16,2,4,4,2,1,4,1,2,3,4,5,3,2,1,7,6,4,3,8,3,4,5,6,2,1,7,1,1,1,1,3,5,5,4,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,4,4,5,4,4,4,4,5,4,1,2,2
17,1,4,4,4,1,5,1,2,3,4,5,1,2,6,4,5,3,7,8,5,1,6,7,3,2,4,1,1,3,5,5,5,4,4,4,5,2,4,3,3,4,4,4,5,5,5,4,4,2,2,4,4,4,5,5,4,4,3,2,2,2
18,2,4,4,5,2,5,1,2,3,5,4,2,1,7,5,8,3,4,6,7,3,4,1,2,5,6,1,1,2,4,5,5,5,5,1,5,2,5,3,3,4,4,4,4,5,5,4,4,1,1,4,4,4,4,5,5,4,4,2,2,2
19,1,3,4,4,2,4,1,2,,,,1,2,,,,3,,,1,2,,,3,4,5,2,2,2,4,4,5,5,2,4,4,3,4,3,3,4,4,4,4,5,5,5,4,2,2,4,4,4,4,5,5,5,4,2,1,4
20,1,3,3,1,-2,1,1,4,3,5,2,5,3,6,8,7,1,4,2,7,4,5,1,3,2,6,-2,-2,1,4,2,5,5,5,1,5,2,2,1,1,1,1,4,2,4,3,3,4,1,1,1,1,4,1,4,1,1,3,2,2,2
21,1,4,4,5,2,5,1,3,2,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2,5,4,5,1,5,2,5,4,3,1,2,3,1,4,5,6,7,8,4,3,2,1,5,6,7,0,-2,1,4,5,5,4,5,4,5,1,5,3,3,4,4,4,5,5,5,5,5,3,3,4,4,4,5,5,5,5,5,2,1,2
23,1,3,3,2,-1,3,2,1,4,3,5,3,1,2,4,5,6,8,7,5,4,7,1,6,2,3,0,0,1,4,3,4,4,4,2,4,1,4.5,1,3,4,4,3,2,3,3,3,4,1,1,4,4,3,3,3,2,2,4,2,1,2
24,1,4,4,4,1,3,1,4,2,5,3,1,2,7,3,6,4,5,8,7,3,4,1,2,5,6,0,0,1,3,3,5,5,5,2,5,1,2,1,1,3,1,3,4,3,1,1,3,1,1,3,3,3,4,3,1,1,3,2,2,1
25,2,3,3,4,2,4,1,4,3,2,5,6,4,7,5,3,2,8,1,7,6,4,3,2,1,5,-1,-2,2,4,2,5,4,4,4,5,1,3,3,2,4,4,4,4,5,5,4,3,1,1,2,3,3,3,4,4,3,3,1,1,2
26,2,4,1,1,-2,1,1,4,3,5,2,1,2,5,4,6,3,7,8,4,1,6,5,2,3,7,-2,-1,1,5,2,5,5,4,3,4,2,2,1,1,22,2,4,3,1,4,3,4,1,1,5,4,5,2,1,3,2,4,2,1,2
27,0,4,4,5,1,3,,,,,,,,,,,,,,,,,,,,,0,1,1,3,5,3,4,3,4,4,3,3,1,1,5,3,3,5,4,4,5,4,2,2,5,5,4,5,5,5,4,5,2,1,2
28,-1,3,3,1,-1,3,1,2,3,4,5,1,2,5,4,6,7,3,8,4,3,5,7,6,1,2,0,0,1,4,4,5,5,4,4,,2,3,1,1,4,4,4,5,4,5,4,4,1,1,4,3,4,5,4,4,4,4,2,1,4
29,2,5,4,4,1,2,1,2,3,5,4,1,2,7,6,8,3,4,5,3,2,4,1,6,5,7,1,-1,1,4,4,5,5,1,5,5,4,3,2,2,3,3,4,5,5,2,5,4,1,1,4,4,4,5,5,1,4,4,2,2,2
30,0,3,3,2,0,3,1,4,5,2,3,3,1,2,4,5,6,7,8,2,1,3,4,7,5,6,0,0,2,4,3,5,5,4,2,5,3,3,2,2,2,2,4,3,3,3,3,3,,,2,2,2,3,3,3,2,2,2,1,2
31,2,3,3,5,1,3,1,2,3,4,5,1,3,4,7,6,2,5,8,5,3,2,7,6,1,4,0,0,2,4,5,5,4,4,2,4,1,3,2,1,3,4,4,5,5,5,3,4,2,2,4,4,2,5,5,5,4,4,2,2,3
32,1,4,4,3,1,3,1,2,3,5,4,2,3,5,7,6,1,8,4,4,2,3,1,7,5,6,1,1,3,5,2,5,5,2,4,4,2,3,4,,3,3,4,5,4,4,4,4,2,,3,3,4,4,4,2,4,4,2,2,2
33,2,5,5,5,2,5,1,2,3,4,5,2,1,3,4,5,6,7,8,1,2,3,4,5,6,7,2,2,1,4,4,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,2
34,2,4,4,4,1,4,1,2,5,6,4,1,3,5,4,7,2,6,8,7,1,5,6,3,2,4,1,1,1,4,4,5,5,2,4,4,3,4,2,3,3,3,4,4,5,4,,5,2,1,3,3,4,5,5,3,4,5,2,2,3
35,2,3,3,5,2,4,1,5,2,4,3,4,1,7,2,8,3,6,5,4,2,6,1,3,5,7,1,0,1,4,1,5,5,5,1,4,1,2,,,3,3,4,,5,5,5,5,1,1,3,3,3,2,4,3,3,3,2,1,1
36,1,2,2,2,-2,1,1,2,3,5,4,3,1,2,4,5,6,8,7,1,2,3,4,6,5,7,0,0,1,5,5,5,4,3,4,5,2,4,,,4,2,2,3,3,2,2,3,,,4,4,3,2,2,2,3,2,2,1,1
37,2,4,4,5,2,5,1,3,2,4,5,6,1,7,2,8,3,5,4,6,1,4,2,3,7,5,2,2,1,5,3,5,5,5,5,5,4,6,1,1,4,1,5,5,5,4,4,4,2,1,3,3,4,4,5,4,4,4,2,2,1
38,1,4,3,4,1,3,1,2,3,4,5,1,2,3,8,5,4,7,6,6,5,3,2,7,1,4,1,0,1,2,4,5,5,1,5,5,1,4,1,2,3,3,4,5,5,4,3,4,1,3,4,5,3,4,4,3,3,4,2,2,2
39,1,4,3,4,1,3,2,1,3,4,5,2,3,4,1,8,4,5,6,2,1,4,3,6,5,7,0,1,1,4,2,5,5,4,1,5,2,2,1,1,4,3,4,4,4,3,4,4,1,1,4,5,4,3,3,3,4,4,2,1,3
40,-2,3,3,3,1,1,1,5,3,5,4,1,1,1,3,3,2,4,,3,2,1,1,4,2,5,-2,0,1,2,1,5,5,4,2,4,1,2,,,3,2,3,,4,2,1,,,,3,3,1,,1,1,1,,2,1,1
41,1,4,4,1,-2,1,2,1,3,4,5,6,1,3,8,2,4,7,5,4,3,6,2,7,1,5,0,0,1,4,1,5,5,5,2,5,1,2,,,3,4,4,,4,4,2,3,,,5,5,3,,4,3,2,,2,1,3
42,0,4,3,4,2,5,1,2,3,5,4,1,2,4,5,6,3,7,8,7,6,4,2,3,5,1,0,1,4,5,2,5,5,3,3,5,4,3,3,1,3,3,4,3,5,5,3,4,1,1,2,1,5,3,5,5,1,5,2,1,4
43,2,1,1,1,-2,1,1,2,3,4,5,4,3,6,5,7,,2,1,2,1,3,5,4,6,7,0,0,1,4,5,5,5,1,5,5,4,7,1,1,1,1,1,5,1,1,1,1,1,1,1,1,2,5,1,1,1,1,2,2,3
44,2,3,3,5,2,4,,,,,,,,,,,,,,,,,,,,,2,2,1,4,3,5,53,3,5,3,3,3,1,1,3,3,5,3,3,4,3,1,1,1,2,2,5,1,3,3,1,3,2,2,1
45,1,4,4,5,2,5,1,4,2,3,5,1,2,5,6,7,3,8,4,7,2,5,1,4,3,6,0,1,1,5,4,5,5,4,2,5,1,3,1,1,2,3,4,5,5,4,4,4,1,1,2,3,5,5,5,4,4,4,2,2,3
46,2,3,3,3,0,2,1,3,2,4,5,1,2,5,4,6,3,7,8,5,1,4,7,2,3,6,2,1,1,4,3,5,5,5,1,4,3,4,,,3,3,4,5,4,4,4,4,,,3,3,4,3,3,3,4,4,1,2,3
47,2,5,3,2,-1,2,1,3,2,4,5,2,1,5,3,6,4,7,8,6,4,2,5,3,1,7,0,0,1,3,3,5,5,5,1,5,3,5,1,1,4,5,5,4,5,2,2,5,1,1,5,4,5,4,5,2,2,3,2,2,2
48,1,4,4,3,-1,3,1,3,2,4,5,2,1,3,6,5,7,4,8,2,1,6,5,4,3,7,1,0,1,4,5,5,5,4,2,5,5,4,,,3,4,4,5,5,4,4,4,,,4,5,4,5,5,3,5,4,2,2,2
49,0,3,2,2,-1,2,1,3,2,4,5,1,2,3,6,5,4,7,8,7,6,3,2,4,1,5,-2,-1,1,4,2,5,5,1,5,5,2,3,3,2,4,4,4,3,3,3,3,3,3,2,4,4,4,3,3,3,3,3,2,1,2
50,2,3,3,2,-1,1,1,3,2,4,5,2,4,1,7,5,3,6,8,1,2,5,3,6,4,7,-1,0,1,4,1,5,5,3,3,5,2,3,1,1,2,2,4,1,1,2,1,2,1,1,2,3,4,1,1,1,1,2,2,1,2
51,2,3,1,1,-2,1,2,5,3,4,1,3,1,4,5,6,2,7,8,3,2,7,1,4,5,6,0,0,1,5,4,5,5,3,3,5,5,4,,,3,2,4,3,5,4,4,4,,,3,1,1,1,5,3,3,3,2,1,4
52,0,3,3,1,-1,1,1,3,2,4,5,2,1,6,4,7,3,5,8,3,2,1,7,4,5,6,-1,0,1,3,3,5,4,5,2,5,2,2,1,1,3,3,4,5,3,3,3,3.5,1,1,3,3,4,4,3,3,3,3,2,0,2
53,1,3,4,3,0,4,1,5,2,4,3,3,4,1,5,6,2,7,8,6,3,5,1,4,2,7,1,-1,1,4,2,5,5,3,3,4,2,3,1,1,2,2,3,2,5,4,4,2,1,1,3,3,4,2,4,4,4,2,2,1,2
54,2,5,4,4,2,5,1,3,2,4,5,1,2,8,5,6,7,3,4,7,5,2,1,4,3,6,1,1,1,4,3,5,5,4,2,4,2,4,5,4,3,5,5,4,2,3,2,1,1,4,3,2,3,4,5,4,5,5,2,1,1
55,0,4,4,3,-1,3,3,1,2,5,4,2,1,3,5,4,7,8,6,4,3,6,1,1,2,5,1,1,1,4,5,5,5,3,3,5,1,4,1,1,2,2,4,5,5,4,3,5,1,1,2,2,4,5,5,3,2,4,2,2,1
56,2,5,5,5,2,5,1,3,2,4,5,6,2,1,8,7,4,5,3,7,6,1,2,4,3,5,2,2,1,2,4,5,5,1,5,5,5,2,1,5,2,2,3,5,5,3,1,4,1,4,3,3,4,5,5,2,1,4,2,1,3
57,2,2,2,3,0,3,1,4,2,5,3,1,2,4,3,5,6,7,8,6,4,3,2,5,1,7,0,0,1,3,5,5,5,4,3,5,1,3 or 5,,,3,3,2,5,4,3,1,4,1,1,3,4,2,5,4,3,1,5,2,2,1
58,,,,,,,1,5,2,4,3,5,1,2,3,4,7,6,8,7,4,5,1,3,2,6,1,1,1,4,3,5,4,2,4,5,1,3,1,3,3,4,2,5,5,4,2,4,1,1,3,4,3,4,4,4,3,5,2,1,1
59,2,3,3,5,2,4,2,1,3,4,5,1,2,5,6,7,3,8,4,,,3,2,,1,,1,1,1,5,3,5,5,1,5,5,4,4,,,5,2,3,5,4,5,5,4,,,5,2,5,5,4,5,4,,2,1,2
60,2,5,5,5,2,5,1,,,,,1,,,,,1,1,,,,1,,,1,,2,0,3,5,5,5,5,3,5,3,5,3,1,1,4,5,5,4,5,5,5,4,1,2,4,5,4,5,5,3,5,3,1,2,4
61,2,3,3,5,2,4,1,2,3,4,5,1,2,5,4,6,3,8,7,4,3,2,1,6,5,7,1,1,1,3,2,5,5,3,3,4,2,2,,,3,,4,4,5,4,5,5,,,3,,3,4,5,4,5,5,2,2,2
62,2,5,5,5,2,5,2,3,1,4,5,1,2,8,3,7,4,5,6,2,1,4,7,5,3,6,2,2,2,5,5,5,5,5,2,2,2,4,3,3,4,4,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,2,1,4
63,1,4,3,4,1,4,4,2,1,3,5,4,3,7,2,8,1,5,6,3,4,6,1,2,5,7,1,1,2,4,4,4,4,5,5,4,3,4,2,2,4,4,4,4,4,5,5,5,2,2,4,4,4,4,5,5,5,5,2,1,2
64,2,5,5,5,2,5,1,2,3,4,5,1,2,4,6,5,3,8,7,2,1,3,7,6,4,5,2,2,2,4,4,5,5,5,3,5,5,4,3,3,4,4,5,5,5,5,5,5,2,2,4,4,5,5,5,5,5,5,2,2,2
65,2,5,5,5,2,5,4,4,5,2,2,4,5,4,4,5,5,4,1,1,1,5,5,4,5,5,2,2,2,5,5,5,5,4,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,2,1,3
66,2,3,3,3,1,3,1,2,3,4,5,1,5,6,7,8,2,4,3,1,2,3,6,5,7,4,2,1,4,4,1,5,5,4,4,5,2,3,3,2,5,5,4,3,4,4,4,3,3,2,5,5,5,3,3,2,3,2,2,,
67,0,2,2,4,2,2,1,2,3,4,5,1,4,2,3,5,6,8,7,2,1,5,6,4,3,7,0,0,2,5,4,5,5,1,5,2,1,2,1,1,1,2,3,5,5,4,5,3,1,1,2,3,2,5,5,3,5,3,1,1,2
68,,,,,,,2,3,1,4,5,2,6,7,5,8,1,3,4,3,2,4,5,7,6,1,2,2,2,4,4,5,4,4,2,4,4,5,2,2,2,3,4,4,4,4,4,4,2,2,3,3,4,4,4,4,4,4,2,1,
69,2,1,4,5,1,4,1,2,3,4,5,2,1,6,8,7,5,4,3,7,6,2,1,4,3,5,1,0,2,5,3,5,5,3,3,4,5,5,1,1,5,5,5,3,5,5,1,3,1,1,4,4,5,2,4,4,1,4,2,2,1
70,0,4,3,3,0,3,1,5,2,4,5,1,2,8,3,8,4,10,10,8,7,10,3,1,4,4,0.5,0.5,1,4,2,5,5,5,1,5,2,2.5,2,2,2,2,4,2,5,4,3,4,1,1,1,1,3,2,5,4,4,4,2,1,2
71,,,,,,,1,4,2,5,3,1,2,6,4,7,3,5,8,4,2,1,6,5,3,7,0,0,1,5,4,5,5,5,2,5,2,3,1,1,5,3,4,5,5,4,3,1,1,1,5,4,4,5,4,3,2,1,2,1,2
72,0,4,4,4,2,3,1,5,2,3,4,4,3,8,7,6,2,5,1,6,3,5,2,4,1,7,1,1,1,5,2,5,5,1,5,5,1,4,,,4,3,5,3,5,4,5,4,,,4,4,5,4,5,4,4,4,2,0,2
73,1,4,4,5,1,4,2,5,1,3,4,2,1,4,3,7,5,8,6,6,1,4,5,3,2,7,1,1,1,3,5,5,3,2,4,4,2,5,2,2,4,4,4,5,5,5,5,4,2,2,3,4,4,5,5,4,3,3,1,1,2
74,2,2,2,1,-2,1,1,,,,,1,1,,,,,1,,1,1,,1,,,1,0,0,,4,4,5,5,5,2,5,1,5,,,4,4,2,5,5,3,4,5,,,5,5,2,5,5,2,4,4,2,2,3
75,2,2,2,1,-2,1,1,2,3,5,4,1,2,3,5,6,4,,,,,,,,,,-2,-2,1,4.5,3,5,5,4.5,2.5,5,1,,1,1,1,1,5,2,4,2,1,1,1,1,5,3,2.5,3,4,2,2,2,2,2,2
76,2,4,5,3,1,4,,,,,,,,,,,,,,2,1,4,3,6,5,7,1,0,5,5,4,5,5,5,2,5,5,6,4,5,5,5,5,4,5,3,2,5,4,4,5,5,5,4,5,5,4,5,3,1,2
77,2,4,5,5,2,4,1,2,3,4,5,5,2,7,4,8,1,6,3,7,1,4,2,5,6,3,0,0,1,5,1,4,4,5,1,4,1,4,,,4,4,4,,5,5,4,5,,,4,5,5,,4,4,4,4,1,1,2
78,2,4,3,5,2,4,1,3,2,5,4,6,2,5,3,7,4,8,1,6,5,1,2,3,4,7,0,1,1,5,5,5,4,1,5,5,2,6,1,3,4,5,5,5,5,3,4,4,1,2,5,5,5,5,5,1,3,3,2,1,2
79,-1,1,1,1,-1,1,2,8,1,10,10,1,1,2,3,3,8,10,,10,10,9,1,1,1,5,-2,-2,1,3,2,3,4,5,1,3,1,2.5,1,1,5,5,5,3,3,4,3,2,1,1,4,4,4,1,1,2,1,1,3,1,1
80,2,4,4,4,2,4,2,1,3,5,4,2,7,6,8,4,1,3,5,5,3,4,1,7,2,6,0,0,1,4,3,5,5,5,1,5,3,5,2,2,2,2,3,4,4,4,4,4,1,1,3,3,3,4,3,3,3,4,2,2,2
81,0,4,3,3,-1,1,1,3,2,4,5,1,2,7,3,8,4,5,6,7,6,1,3,2,4,5,1,0,1,5,1,5,5,5,1,5,2,4,4,3,5,3,5,1,5,5,5,5,1,1,3,1,5,2,5,5,5,5,2,1,1
82,0,5,4,4,1,4,1,3,2,4,5,2,1,4,5,6,3,7,8,4,3,6,1,5,2,7,1,1,3,5,4,5,5,1,5,5,4,4,4,3,2,2,4,5,5,5,5,5,2,2,2,2,4,4,4,4,4,4,2,2,1
83,2,3,3,3,-1,2,1,5,4,3,2,1,2,3,4,5,6,7,8,2,1,3,6,4,5,7,-1,-1,1,5,2,5,5,5,1,5,2,4,1,1,5,5,4,3,3,2,3,3,1,1,5,5,4,3,3,2,2,3,2,1,2
84,0,2,3,2,2,2,1,3,2,4,5,1,2,3,6,7,4,5,8,2,1,5,4,7,6,3,0,0,1,4,4,4,4,1,5,4,1,2,1,1,4,3,4,5,5,3,4,4,1,1,3,3,3,3,4,2,3,3,2,1,1
85,-1,5,5,1,-2,1,1,,,,,1,4,,3,,2,5,,2,1,,,,3,,1,0,1,4,3,5,5,4,1,5,2,3,1,1,5,5,4,5,2,3,1,2,1,1,5,5,3,3,1,3,1,3,2,2,4
86,-1,2,2,2,-1,1,1,4,2,3,5,1,4,2,3,5,6,8,7,1,2,3,5,4,6,7,-1,-1,2,2,1,5,5,3,3,5,3,3,2,3,1,2,4,2,3,2,4,2,3,2,3,3,4,3,2,2,3,3,2,1,1
87,2,3,3,4,2,4,1,3,2,4,5,1,3,5,2,6,4,8,7,1,2,3,7,5,4,6,2,2,1,5,5,5,5,5,1,5,2,4,1,1,5,4,5,5,5,5,4,5,1,1,5,5,5,5,5,5,4,5,2,1,4
88,0,4,4,3,0,2,1,2,3,5,4,3,1,7,5,8,2,4,6,6,1,3,2,4,5,7,1,1,1,5,3,5,5,4,2,4,2,2,3,5,4,4,4,4,5,4,5,3,3,3,5,5,5,4,5,4,5,3,2,1,1
89,-1,4,5,2,-1,2,1,2,2,4,5,1,1,2,4,1,1,4,2,1,1,4,5,4,2,1,2,2,1,5,5,5,5,5,1,5,4,4,1,1,4,2,4,5,5,5,5,5,1,1,2,2,5,5,5,5,5,3,2,2,2
90,2,4,2,2,-1,3,1,2,3,4,5,2,1,5,7,6,3,4,8,5,3,1,2,7,4,6,0,1,1,4,4,5,5,1,5,4,2,4,2,4,3,4,4,5,5,4,3,4,2,2,4,5,4,5,4,3,3,2,2,2,2
91,0,4,4,1,-2,1,1,1,1,5,5,2,1,1,1,1,1,1,3,2,1,1,1,1,2,2,1,0,3,4,4,4,4,3,4,4,1,5,5,5,4,4,4,5,3,4,2,5,4,4,5,5,5,5,3,3,3,3,2,1,1
92,1,1,1,1,-1,2,1,3,2,5,4,1,2,4,8,6,3,5,7,4,3,2,1,7,5,6,-2,-2,1,5,1,5,5,4,2,4,4,4,1,,4,,4,3,4,3,3,3,,,4,,3,3,2,2,2,2,2,2,2
93,0,4,3,2,-1,2,1,4,2,3,5,3,1,7,4,8,2,5,6,7,4,3,6,1,5,2,-1,0,1,4,3,4,4,3,3,4,3,2,,,4,3,4,2,2,2,2,4,,,3,3,4,2,1,1,1,2,2,2,1
94,2,5,5,5,2,3,1,3,2,4,5,1,2,3,6,7,4,5,8,3,5,1,2,4,6,7,0,0,2,4,5,5,5,5,1,5,5,2,3,5,5,5,4,5,5,4,3,5,3,3,5,5,4,5,5,3,3,3,2,1,3
95,-2,3,3,1,-2,2,1,4,3,5,2,1,2,6,3,7,8,5,4,1,2,3,4,7,6,5,0,-2,1,2,1,5,4,3,3,4,1,2,1,1,1,1,2,1,4,2,2,3,1,1,1,1,1,1,5,1,3,2,1,1,1
96,1,4,3,3,0,3,1,2,3,4,5,4,1,7,2,8,3,5,6,6,4,5,2,1,3,7,0,0,1,5,2,5,5,4,2,5,1,4,1,1,3,2,5,3,5,4,3,3,,,3,4,4,3,5,4,2,3,2,2,2
97,-2,3,4,1,0,1,1,3,2,4,5,2,4,3,5,7,6,8,1,7,6,3,2,1,4,5,0,0,1,5,1,5,5,4,2,4,1,4,1,1,2,2,1,2,3,3,1,2,1,1,1,1,1,1,3,2,1,2,2,1,1
98,0,2,3,3,0,3,2,5,3,4,1,1,2,6,8,7,5,3,4,6,3,5,1,7,2,4,-2,0,1,4,3,5,4,5,2,4,1,4,,,4,3,2,4,5,3,3,4,,,4,4,2,3,3,3,3,3,2,0,3
99,1,3,3,2,-1,2,,,,,,,,,,,,,,,,,,,,,1,0,1,5,1,5,4,3,3,5,3,4,,,,,3,,3,3,2,3,,,,,3,,3,3,2,3,2,2,2
100,2,3,3,5,2,5,3,1,2,5,4,4,1,6,7,8,2,3,5,7,4,3,6,8,1,2,0,0,3,3,5,3,3,1,5,3,3,2,3,1,3,3,3,5,5,5,3,3,1,1,3,3,1,5,5,5,3,3,2,1,2
101,2,5,5,5,2,4,1,4,2,5,3,4,1,6,7,5,2,3,8,6,5,3,4,7,2,1,2,1,2,5,2,5,4,2,4,4,2,2,1,1,3,2,3,4,5,5,4,5,1,1,3,3,3,4,5,5,2,4,2,2,2
102,0,3,3,1,-1,2,1,2,3,4,5,1,2,4,6,5,7,3,8,3,1,4,2,7,5,6,0,0,4,4,5,5,4,4,4,4,4,1,5,5,3,3,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,3,2,,3
103,1,4,4,2,-2,2,1,2,5,4,5,1,1,3,1,3,2,1,4,5,5,1,2,2,3,2,0,1,1,4,5,4,5,4,4,4,1,2,1,2,5,5,5,5,4,5,3,2,1,1,5,5,5,5,4,2,4,5,2,1,1
104,2,5,5,5,2,5,1,2,3,4,5,1,6,7,2,8,3,4,5,1,2,6,7,3,5,4,0,0,4,5,4,4,4,1,5,4,3,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,5,5,1,1,1
105,1,4,4,3,0,3,1,3,2,4,5,1,2,6,7,8,3,4,5,1,2,3,4,7,6,5,0,0,1,4,5,4,4,2,5,3,4,3,1,1,3,4,4,5,5,5,5,5,1,1,5,5,4,5,4,2,4,3,2,1,1
